128	Borgnat P	2010	IEEE T SIGNAL PROCES	58	3459		Journal	Article	6	Testing Stationarity With Surrogates: A Time-Frequency Approach	WOS:000278813600004
129	Flandrin P	2011	EURASIP J ADV SIG PR				Journal	Editorial Material	1	Recent Advances in Theory and Methods for Nonstationary Signal Analysis	WOS:000300996100001
130	Flandrin P	2011	TRAIT SIGNAL	28	691		Journal	Article	0	Relative stationarity and connected approaches	WOS:000306153600004
131	Borgnat P	2011	INT CONF ACOUST SPEE		3600		Series	Proceedings Paper	1	TRANSITIONAL SURROGATES	WOS:000296062404028
132	Torres ME	2011	INT CONF ACOUST SPEE		4144		Series	Proceedings Paper	0	A COMPLETE ENSEMBLE EMPIRICAL MODE DECOMPOSITION WITH ADAPTIVE NOISE	WOS:000296062404163
133	Borgnat P	2011	ADV COMPLEX SYST	14	415		Journal	Article	1	SHARED BICYCLES IN A CITY: A SIGNAL PROCESSING AND DATA ANALYSIS PERSPECTIVE	WOS:000292163000007
134	Equis S	2011	OPT LETT	36	4617		Journal	Article	0	Phase extraction in speckle interferometry by a circle fitting procedure in the complex plane	WOS:000298174400051
135	Orini M	2012	IEEE T BIO-MED ENG	59	663		Journal	Article	1	Characterization of Dynamic Interactions Between Cardiovascular Signals by Time-Frequency Coherence	WOS:000300508400009
136	Auger F	2012	IEEE SIGNAL PROC LET	19	267		Journal	Article	0	On Phase-Magnitude Relationships in the Short-Time Fourier Transform	WOS:000302093000003
137	Rioul O	1991	IEEE SIGNAL PROC MAG	8	14		Journal	Review	873	Wavelets and signal processing	WOS:000202959100001
138	RIOUL O	1992	IEEE T INFORM THEORY	38	569		Journal	Article	226	FAST ALGORITHMS FOR DISCRETE AND CONTINUOUS WAVELET TRANSFORMS	WOS:A1992HG00800004
139	RIOUL O	1992	SIAM J MATH ANAL	23	1544		Journal	Article	100	SIMPLE REGULARITY CRITERIA FOR SUBDIVISION SCHEMES	WOS:A1992JU93700008
140	RIOUL O	1993	IEEE T SIGNAL PROCES	41	2591		Journal	Article	65	A DISCRETE-TIME MULTIRESOLUTION THEORY	WOS:A1993LR59500006
141	RIOUL O	1993	IEEE T SIGNAL PROCES	41	3572		Journal	Letter	18	REGULAR WAVELETS - A DISCRETE-TIME APPROACH	WOS:A1993MU18200032
142	RIOUL O	1994	IEEE T CIRCUITS-II	41	550		Journal	Article	59	A REMEZ EXCHANGE ALGORITHM FOR ORTHONORMAL WAVELETS	WOS:A1994PH82400006
143	Karray L	1998	IEEE T IMAGE PROCESS	7	621		Journal	Article	21	Image coding with an L-infinity norm and confidence interval criteria	WOS:000073300100001
144	Gabay A	2000	GLOB TELECOMM CONF		820		Book	Proceedings Paper	0	Real BCH codes as joint source channel codes for satellite images coding	WOS:000166939500151
